category,Bitrate (kb/s),PSNR (dB),VMAF,QP,std_bitrate,std_psnr,std_vmaf,codec
Animation,32259.333333333332,50.77652833333334,98.13534633333335,10,5551.276990226864,1.203499848779199,1.3118999906680715,x264
Animation,20581.333333333332,46.62435766666666,97.56093233333333,15,3063.0566795640957,1.249945546315874,1.8578290879944293,x264
Animation,11782.0,42.49372066666667,96.42827833333332,20,4188.695819305416,1.2883537821743254,2.805120699123938,x264
Animation,6942.333333333333,38.709674666666665,93.70993966666667,25,3791.280551769049,1.710244137684505,4.546597836275114,x264
Animation,4321.0,35.278882333333335,89.03656833333332,30,2760.8100260611923,2.3056530495042455,7.371579630899854,x264
Animation,2897.6666666666665,32.088884,81.24761866666667,35,1818.8176256996069,2.9291266539312826,12.39868534996579,x264
Animation,1872.0,29.200000666666664,65.631274,40,1262.6419392158123,3.756304075351757,17.218508895080625,x264
Animation,999.3333333333334,26.717759666666666,48.870147333333335,45,724.4880184577858,4.698955965089078,17.58682548555663,x264
Animation,290.6666666666667,24.459000333333332,32.987250333333336,50,187.56746934251566,5.161228689467999,19.024102605151118,x264
TelevisionClip,38157.333333333336,51.640260000000005,99.73560200000001,10,19808.29557421727,2.897968020099717,0.07771037357178764,x264
TelevisionClip,23673.666666666668,47.97884333333334,99.27607866666666,15,12851.277351125667,3.56084231955646,0.064524901117492,x264
TelevisionClip,13942.0,44.395402666666676,97.55191866666667,20,7319.262576699012,4.279415016360248,0.5704084105389392,x264
TelevisionClip,6835.333333333333,40.692936,92.74893933333334,25,3600.7852230065355,4.683745146010899,2.2757805585270163,x264
TelevisionClip,2837.3333333333335,37.775408,84.68976566666667,30,1401.5734808500845,5.168091814204799,4.464468043156639,x264
TelevisionClip,1208.0,35.366625000000006,73.29045366666666,35,476.7312310586193,5.381223197187793,6.267004212017751,x264
TelevisionClip,595.6666666666666,32.978701,58.09009066666667,40,150.984178714931,5.260828761042186,6.777945094205489,x264
TelevisionClip,357.0,30.403418333333335,40.948406000000006,45,66.3525935187666,4.7650901677278785,6.534313739335958,x264
TelevisionClip,224.66666666666666,27.57504366666667,24.702436333333335,50,45.32352835142275,3.8221885901859367,4.3887995855187505,x264
Animation,33123.666666666664,49.921572,97.94478866666667,10,5328.136905982135,0.8950249701123808,1.482093493176534,x265
Animation,20066.0,46.34411433333333,97.48538866666667,15,2098.3055068316435,1.3333048726319956,1.8706013512533608,x265
Animation,10972.0,42.735278,96.52929999999999,20,3321.213733963333,1.5898273170890824,2.61594252646358,x265
Animation,6052.666666666667,39.28263066666667,94.32103599999999,25,3552.6574404083613,1.8568148313317516,3.9658836981929593,x265
Animation,3695.6666666666665,35.82707833333333,89.59921899999999,30,2695.6607518174255,2.1557490815529112,7.070225640197677,x265
Animation,2252.0,32.245213,81.35926433333334,35,1805.169798107646,2.5422621056595776,12.518179385058735,x265
Animation,1190.3333333333333,29.084560333333332,68.45029833333334,40,1069.0336238345774,3.163613815162688,17.149364271981867,x265
Animation,504.6666666666667,26.76347366666667,52.92144166666666,45,536.3309508958894,4.026052215347133,18.297065404243202,x265
Animation,239.0,25.285168,40.195209,50,259.0688454188706,4.757047627782804,18.369071141164216,x265
TelevisionClip,36582.333333333336,50.96907033333333,99.543537,10,24422.35331731067,2.5647795678747056,0.1371849502630192,x265
TelevisionClip,23166.0,47.41116066666666,98.72949333333332,15,16223.970311445551,2.9661039935574673,0.688250212517865,x265
TelevisionClip,13353.0,43.89497333333333,96.552437,20,9704.617079857746,3.4949856680854756,1.8228854938390053,x265
TelevisionClip,6612.0,40.714399666666665,91.98102,25,4887.565924534079,4.176121428085022,3.4246998328171796,x265
TelevisionClip,2846.0,38.14138833333333,84.94086766666668,30,1997.9361017476676,4.769126162607171,4.785338870475973,x265
TelevisionClip,1109.3333333333333,35.885605000000005,74.625398,35,718.7166030888361,5.0463753113402765,6.381212781782842,x265
TelevisionClip,409.3333333333333,33.64901833333333,60.22532666666666,40,211.3217662449585,5.095797349293851,7.763844876487308,x265
